CustomerID,Title,GivenName,MiddleInitial,Surname,CreditCardType,Occupation,Gender,Age,Location,MotorInsurance,MotorValue,MotorType,HealthInsurance,HealthType,HealthDependentsAdults,HealthDependentsKids,TravelInsurance,TravelType
3,Mr.,Niall,T,Graham,AMEX,Biophysicist,male,52,Urban,Yes,17274,Single,No,,,,No,
6,Mr.,Harry,L,McDonald,AMEX,Stevedore,male,49,Rural,Yes,11735,Single,Yes,Level1,2,3,Yes,Business
7,Dr.,Chanelle,L,Hay,AMEX,,female,18,Urban,Yes,4884,Bundle,No,,,,Yes,Backpacker
8,Ms.,Alexandra,J,Ross,AMEX,,female,48,Urban,Yes,13879,Single,Yes,Level1,1,3,No,
9,Mr.,Bailey,T,Atkinson,,,male,49,Rural,Yes,17294,Single,Yes,Level2,1,3,Yes,Standard
10,Dr.,Lily,D,Smart,AMEX,Physical therapist,female,20,Urban,Yes,4934,Single,No,,,,Yes,Premium
12,Mr.,Benjamin,I,Howard,Visa,Sampler,male,-48,Urban,No,,,No,,,,Yes,Business
15,Mr.,Bradley,J,Kelly,AMEX,Principal secretary,male,52,Urban,No,,,Yes,Level2,2,2,Yes,Standard
25,Ms.,Anya,J,McIntyre,AMEX,,female,20,Urban,Yes,5228,Bundle,No,,,,Yes,Premium
34,Mr.,Kiran,K,Sutherland,AMEX,Multiple machine tool tender,male,47,Rural,Yes,32809,Single,Yes,Level2,2,2,Yes,Standard
46,Mr.,George,H,Fry,Visa,Pointer,male,56,Rural,Yes,16342,Single,Yes,Level1,0,2,No,
47,Mr.,Jesse,E,Hill,AMEX,Clerical specialist,male,19,Urban,Yes,4926,Bundle,No,,,,Yes,Standard
52,Mr.,Bradley,C,Parry,Visa,Organizational economist,male,49,Urban,Yes,35555,Single,Yes,Level1,1,3,Yes,Business
53,Ms.,Melissa,M,Alexander,AMEX,,female,18,Urban,Yes,29236,Bundle,No,,,,No,
56,Mr.,Rian,F,Martin,AMEX,Licensed clinical social worker,male,24,Rural,Yes,28073,Bundle,No,,,,Yes,Premium
58,Ms.,Lea,M,Mitchell,,Range manager,female,52,Rural,Yes,10882,Single,No,,,,Yes,Backpacker
61,Mr.,Adam,S,Wilkinson,Visa,Placement counselor,male,20,Rural,Yes,30069,Bundle,No,,,,Yes,Business
64,Mr.,Kalvin,F,Robertson,Visa,,male,21,Urban,Yes,19593,Bundle,No,,,,No,
75,Ms.,Kenzie,A,Ferguson,Visa,Procurement technician,female,55,Urban,Yes,34548,Single,No,,,,Yes,Premium
76,Ms.,Ayla,K,Burns,Visa,,female,44,Urban,Yes,33979,Single,No,,,,No,
80,Mr.,Aron,K,Wilson,,,male,18,Rural,Yes,23717,Bundle,No,,,,Yes,Premium
98,Mrs.,Eva,E,Burgess,AMEX,Apparel worker,female,49,Urban,Yes,32615,Bundle,Yes,Level2,1,2,No,
103,Ms.,Gabrielle,A,Anderson,AMEX,Construction inspector,female,47,Urban,Yes,34443,Single,Yes,Level1,1,2,Yes,Standard
115,Mr.,Piotr,F,Thomson,,Choreographer,male,22,Urban,Yes,4953,Bundle,Yes,Level1,0,0,Yes,Premium
116,Dr.,Kayleigh,M,Docherty,AMEX,,female,47,Urban,Yes,32265,Single,Yes,Level2,1,2,Yes,Business
118,Mr.,Sebastian,S,Bryant,AMEX,Support staff clerk,male,49,Rural,No,,,No,,,,No,
120,Mrs.,Cerys,B,Holt,Visa,Singer,female,20,Rural,Yes,28611,Bundle,Yes,Level1,1,0,Yes,Business
124,Mrs.,Niamh,A,Kaur,AMEX,Bindery machine setter,female,20,Urban,Yes,30601,Bundle,No,,,,No,
134,Ms.,Darcy,S,Reilly,AMEX,,female,21,Urban,Yes,38049,Bundle,No,,,,Yes,Business
139,Mr.,Michael,C,Mackenzie,Visa,Forest fire prevention specialist,male,50,Rural,No,,,No,,,,No,
140,Dr.,Sophie,R,West,AMEX,Pediatrician,female,50,Rural,Yes,11777,Single,Yes,Level1,1,2,No,
146,Mr.,Warren,Z,Simpson,Visa,Prosecutor,male,47,Rural,No,,,Yes,Level2,1,2,No,
147,Ms.,Casey,L,Reilly,AMEX,,female,45,Urban,Yes,31407,Single,Yes,Level3,1,2,No,
148,Mrs.,Mia,S,Holmes,Visa,Apartment leasing agent,female,18,Urban,Yes,4762,Single,No,,,,No,
150,Ms.,Lexi,F,Ross,AMEX,Linguistic anthropologist,female,21,Urban,Yes,5113,Bundle,No,,,,No,
157,Mrs.,Kimberley,R,Young,AMEX,,female,49,Rural,Yes,11582,Single,No,,,,Yes,Standard
163,Mr.,Filip,E,Morrison,Visa,,male,51,Urban,Yes,11952,Single,Yes,Level2,1,3,No,
164,Ms.,Hayden,C,Craig,,Municipal court judge,female,51,Urban,Yes,12244,Single,Yes,Level1,1,3,Yes,Standard
166,Mr.,Leon,K,Cameron,AMEX,,male,19,Rural,No,,,No,,,,Yes,Backpacker
172,Mrs.,Mia,H,Douglas,AMEX,,female,48,Urban,Yes,12672,Single,No,,,,No,
173,Mr.,Thomas,A,Kelly,AMEX,Nephrology nurse,male,20,Urban,No,,,No,,,,No,
174,Dr.,Baillie,D,McMillan,Visa,Training specialist,male,44,Urban,Yes,24569,Single,Yes,Level2,1,3,Yes,Business
179,Mr.,Luke,G,Freeman,,Industrial designer,male,47,Urban,Yes,38518,Single,Yes,Level3,1,3,No,
183,Mrs.,Isla,H,Morrison,AMEX,,female,18,Urban,Yes,29502,Bundle,Yes,Level1,0,0,Yes,Backpacker
186,Mrs.,Calleigh,A,Wright,AMEX,Electronics technician,female,49,Rural,Yes,15104,Single,No,,,,No,
188,Mrs.,Jennifer,J,Baker,,Dot etcher,female,22,Rural,Yes,25991,Bundle,No,,,,Yes,Standard
191,Mrs.,Lena,D,Douglas,Visa,Small engine service technician,female,19,Urban,Yes,4557,Bundle,No,,,,No,
192,Ms.,Natasha,O,Short,AMEX,Clerical supervisor,female,50,Urban,No,,,Yes,Level3,1,2,No,
195,Ms.,Amna,S,Robertson,,Dinkey operator,female,46,Rural,Yes,17668,Single,Yes,Level2,1,2,No,
196,Mrs.,Anne,F,Thomson,Visa,,female,21,Rural,No,,,Yes,Level1,0,0,Yes,Business
198,Mr.,Dale,N,King,AMEX,Employee development manager,male,48,Rural,Yes,17543,Single,Yes,Level2,1,3,No,
204,Mrs.,Isabelle,K,Leonard,AMEX,,female,49,Rural,Yes,16634,Single,Yes,Level1,1,2,No,
205,Mr.,Bailey,A,Butler,AMEX,Coin vending and amusement machine servicer,male,42,Rural,Yes,28102,Single,No,,,,No,
206,Mr.,Frank,H,Mitchell,Visa,,male,18,Urban,No,,,No,,,,Yes,Backpacker
208,Mr.,Hamza,E,Murray,Visa,Bench technician,male,52,Rural,Yes,19088,Single,Yes,Level2,2,3,No,
209,Mr.,Tyler,J,Storey,,,male,51,Rural,Yes,35308,Bundle,Yes,Level2,1,2,No,
212,Mr.,Oliver,E,Webster,Visa,Signal and track switch repairer,male,22,Urban,No,,,Yes,Level3,0,0,Yes,Backpacker
215,Mr.,Ryan,S,Matthews,Visa,Rooms manager,male,20,Rural,Yes,28514,Bundle,Yes,Level1,0,0,Yes,Standard
220,Mr.,Christian,A,Murphy,AMEX,Corporate office services manager,male,24,Urban,Yes,4871,Bundle,No,,,,No,
223,Ms.,Ellie,G,Craig,Visa,Information systems manager,female,64,Urban,Yes,25398,Bundle,Yes,Level3,0,0,Yes,Senior
225,Ms.,Aleah,K,Ritchie,AMEX,Shipping-and-receiving supervisor,female,46,Urban,Yes,34369,Single,Yes,Level1,0,2,No,
234,Mr.,Stuart,I,Maclean,Visa,Marketing research analyst,male,51,Urban,Yes,11896,Single,Yes,Level2,1,2,No,
239,Mrs.,Amelia,A,Vincent,,Rental manager,female,50,Urban,Yes,35482,Single,Yes,Level2,1,3,Yes,Business
241,Mr.,Riley,K,Iqbal,AMEX,Gas and water service dispatcher,male,47,Rural,Yes,13122,Single,Yes,Level2,1,3,Yes,Standard
245,Mrs.,Ruby,C,Johnston,AMEX,Dispensing optician,female,51,Rural,Yes,15717,Single,Yes,Level2,0,2,No,
251,Ms.,Charli,H,Boyle,Visa,Service technician,female,48,Rural,Yes,20489,Single,Yes,Level3,1,2,No,
252,Mrs.,Mia,C,Hart,Visa,Administrator,female,20,Rural,Yes,31022,Bundle,No,,,,Yes,Backpacker
253,Ms.,Rosie,D,Bell,AMEX,Loss prevention agent,female,55,Rural,Yes,13965,Single,No,,,,No,
261,Dr.,Morgan,L,Richards,,Mason,male,24,Urban,Yes,24890,Bundle,No,,,,Yes,Business
265,Mrs.,Lori,F,Gibson,,National account executive,female,49,Rural,No,,,Yes,Level2,1,2,Yes,Standard
272,Mr.,Ronan,K,Hay,Visa,,male,49,Urban,Yes,33303,Single,Yes,Level3,2,2,Yes,Business
274,Mrs.,Jasmine,C,Christie,Visa,DJ,female,45,Rural,Yes,30486,Single,Yes,Level3,0,2,Yes,Business
279,Mrs.,Alisha,M,McDonald,,Pesticide handler,female,21,Rural,Yes,23360,Bundle,No,,,,Yes,Premium
284,Mr.,Finlay,D,MacDonald,,Secretarial assistant,male,47,Urban,Yes,35360,Single,No,,,,No,
287,Mrs.,Eloise,H,Brown,AMEX,Arbitrator,female,49,Rural,Yes,36052,Single,Yes,Level2,1,2,Yes,Standard
298,Mr.,Ewan,B,Cunningham,,Electrical and electronics installer,male,47,Rural,Yes,8560,Single,No,,,,Yes,Standard
300,Mr.,Henry,E,Carroll,,Blaster,male,22,Rural,Yes,5037,Bundle,No,,,,Yes,Premium
312,Mrs.,Bethany,M,Ahmed,,Homemaker,female,64,Rural,No,,,Yes,Level3,1,0,No,
321,Mrs.,Tia,O,Savage,AMEX,Legal investigator,female,51,Rural,No,,,Yes,Level2,0,2,Yes,Standard
323,Mrs.,Kirsten,V,Clark,Visa,Automotive air-conditioning repairer,female,52,Rural,Yes,16814,Single,Yes,Level2,1,2,No,
332,Ms.,Zoe,J,Robertson,Visa,,female,20,Urban,No,,,No,,,,Yes,Backpacker
333,Mr.,William,A,Cooke,Visa,,male,70,Rural,No,,,Yes,Level3,1,0,No,
336,Ms.,Ava,D,Kerr,Visa,Executive chef,female,19,Urban,No,,,No,,,,No,
342,Mrs.,Michaela,W,Young,Visa,,female,22,Urban,Yes,5152,Bundle,Yes,Level1,0,0,No,
366,Mr.,Zac,M,Taylor,Visa,,male,47,Urban,No,,,Yes,Level1,2,3,No,
371,Mrs.,Sophia,L,Lewis,Visa,Sales worker supervisor,female,47,Rural,Yes,36605,Single,Yes,Level3,1,3,No,
373,Mr.,Robert,D,Reilly,,Information processing worker,male,49,Urban,Yes,29683,Single,Yes,Level1,0,3,Yes,Business
376,Ms.,Sara,A,Wilson,Visa,Gerontologist,female,19,Urban,Yes,25759,Bundle,No,,,,Yes,Premium
378,Mr.,Bruce,A,Simpson,,Laboratory animal technologist,male,50,Urban,Yes,34722,Single,Yes,Level3,1,2,Yes,Standard
379,Mr.,Innes,M,Simpson,Visa,Aircraft cargo handling supervisor,male,48,Urban,Yes,17200,Single,Yes,Level3,1,2,No,
