CustomerID,Title,GivenName,MiddleInitial,Surname,CreditCardType,Occupation,Gender,Age,Location,MotorInsurance,MotorValue,MotorType,HealthInsurance,HealthType,HealthDependentsAdults,HealthDependentsKids,TravelInsurance,TravelType,PrefChannel
1,Mrs.,Macy,A,Boyle,AMEX,Clinical laboratory technologist,female,23,Urban,No,,,No,,,,Yes,Premium,SMS
2,Ms.,Thea,L,McIntosh,AMEX,,female,44,Urban,No,,,Yes,Level1,2,3,No,,Phone
4,Ms.,Murron,P,Miller,AMEX,Sheriff,female,19,Urban,Yes,4920,Bundle,No,,,,No,,SMS
5,Mr.,Kai,A,Henderson,Visa,Automotive painter,male,47,Rural,Yes,14994,Single,Yes,Level1,1,2,Yes,Business,Phone
11,Mrs.,Kayla,A,Brown,Visa,Risk manager,female,54,Rural,Yes,14605,Single,Yes,Level2,2,3,No,,Email
13,Mr.,Muhammed,L,King,AMEX,Building cleaning worker,male,49,Rural,Yes,32115,Single,Yes,Level1,1,2,Yes,Premium,E
14,Mr.,Lucas,C,Gilbert,Visa,Farm and home management advisor,male,19,Rural,Yes,29409,Bundle,No,,,,Yes,Business,Email
16,Mr.,Shay,P,Sinclair,AMEX,Recreation supervisor,male,68,Rural,Yes,325940,Bundle,Yes,Level3,0,0,No,,Phone
17,Ms.,Eve,C,Sutherland,Visa,Computer systems analyst,f,20,Urban,Yes,26503,Single,Yes,Level2,0,0,No,,Email
18,Mr.,Muhammad,N,McGregor,AMEX,Fire inspector,male,49,Urban,Yes,23666,Single,Yes,Level2,2,2,No,,Email
19,Mr.,Jamie,C,Hunter,,Farm and home management advisor,male,49,Rural,Yes,13498,Single,Yes,Level3,1,2,Yes,Standard,Phone
20,Mr.,Harvey,E,Taylor,,Electronics repairer,male,68,Rural,Yes,29438,Single,Yes,Level2,1,0,No,,Phone
21,Ms.,Isabella,K,Riley,AMEX,,f,47,Urban,Yes,39587,Single,Yes,Level2,1,3,No,,Email
22,Mr.,Callum,M,McDonald,AMEX,,male,46,Urban,Yes,13494,Single,No,,,,No,,SMS
23,Ms.,Hazel,C,Sutherland,AMEX,Letterpress setter,female,42,Urban,Yes,38853,Single,Yes,Level2,0,2,Yes,Business,Email
24,Ms.,Imogen,J,Cooper,Visa,,female,61,Rural,Yes,27440,Single,Yes,Level2,0,0,No,,Phone
26,Ms.,Maisie,C,Gill,AMEX,,female,51,Urban,Yes,32452,Single,No,,,,No,,Email
27,Mr.,Mason,L,Nicholls,AMEX,Manager,male,19,Rural,Yes,22356,Bundle,No,,,,No,,SMS
28,Mr.,Michael,A,Dickson,Visa,Environmental meteorologist,male,18,Urban,Yes,28563,Bundle,No,,,,Yes,Business,Email
29,Mr.,Noah,G,McCarthy,AMEX,Personnel analyst,male,50,Rural,Yes,12508,Single,Yes,Level1,0,3,No,,Phone
30,Mr.,Nairn,F,Donaldson,Visa,,male,44,Rural,Yes,30203,Single,Yes,Level3,1,3,No,,SMS
31,Ms.,Ami,D,Williamson,AMEX,Occupational health nurse,female,49,Urban,Yes,35967,Single,No,,,,Yes,Business,Email
32,Mr.,Donald,K,Moore,Visa,Systems administrator,male,51,Urban,Yes,35634,Single,No,,,,Yes,Business,Email
